Order ID,First Name,Last Name,Order Date,Product Price,Quantity,Shipping Address
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Danielle,Lee,2023-11-07,463.55,4.0,"PSC 6631, Box 9314, APO AP 79198"
23b8c1e9-3924-46de-beb1-3b9046685257,Thomas,Ramos,2024-04-23,110.8,5.0,"849 Marshall Views, Marcusbury, CO 37060"
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Krista,Williams,2024-06-01,34.02,10.0,"9965 Troy Islands, South Jason, KS 45109"
972a8469-1641-4f82-8b9d-2434e465e150,Dr.,Tracy House Dvm,2023-06-12,492.73,4.0,"083 John Lodge Suite 837, Westtown, LA 29546"
17fc695a-07a0-4a6e-8822-e8f36c031199,John,Lewis,2024-03-18,393.11,4.0,"9578 Coleman Summit, Michaelmouth, ME 33452"
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Anthony,Gray,2024-02-06,214.39,3.0,"1823 Joanna Harbor, Tinaborough, IN 47802"
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Tyler,Cowan,2024-10-29,360.61,8.0,"824 Terri Plaza, Heidiberg, WV 64841"
47378190-96da-4dac-b2ff-5d2a386ecbe0,Wayne,Riley,2024-03-30,291.69,10.0,"29413 Angela Mall, Port Alexandra, NV 39475"
c241330b-01a9-471f-9e8a-774bcf36d58b,Nicole,Brown,2024-12-03,375.25,7.0,"9909 Stacey Fords Apt. 412, East Andrea, AL 54046"
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Tyler,Miller,2025-03-03,427.1,1.0,"9947 Taylor Hollow, Benderhaven, NM 57878"
371ecd7b-27cd-4130-8722-9389571aa876,Kurt,Leonard,2024-05-18,480.59,2.0,"5940 Jeremy Spring, Port Emilyview, AZ 99626"
1a2a73ed-562b-4f79-8374-59eef50bea63,Bryan,Zamora,2025-05-04,96.98,4.0,"2967 Theodore Lodge Suite 512, Robertfort, TN 52989"
