"Order ID","Customer Name","Order Date","Product Price","Quantity","Shipping Address"
"bdd640fb-0667-4ad1-9c80-317fa3b1799d","danielle lee","07/11/2023","463.55","4.0","PSC 6631, Box 9314, APO AP 79198"
"","Javier Ramirez","18/12/2023","87.32","3.0","8651 Smith Manor, Garciastad, NH 93209"
"23b8c1e9-3924-46de-beb1-3b9046685257","Thomas Ramos","23/04/2024","110.8","5.0","849 Marshall Views, Marcusbury, CO 37060"
"bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9","Krista Williams","01/06/2024","34.02","10.0","9965 Troy Islands, South Jason, KS 45109"
"972a8469-1641-4f82-8b9d-2434e465e150","Dr. Tracy House DVM","12/06/2023","492.73","4.0","083 John Lodge Suite 837, Westtown, LA 29546"
"17fc695a-07a0-4a6e-8822-e8f36c031199","John Lewis","18/03/2024","393.11","4.0","9578 Coleman Summit, Michaelmouth, ME 33452"
"9a1de644-815e-46d1-bb8f-aa1837f8a88b","Anthony Gray","06/02/2024","214.39","3.0","1823 Joanna Harbor, Tinaborough, IN 47802"
"b74d0fb1-32e7-4629-8fad-c1a606cb0fb3","Mrs. Rachel Gibson","21/10/2024","497.73","",""
"6b65a6a4-8b81-48f6-b38a-088ca65ed389","Tyler Cowan","29/10/2024","360.61","8.0","824 Terri Plaza, Heidiberg, WV 64841"
"","Michelle Moore","29/01/2025","151.87","2.0","477 Peterson Center, Shelleyfort, CA 53022"
"47378190-96da-4dac-b2ff-5d2a386ecbe0","Wayne Riley","30/03/2024","291.69","10.0","29413 Angela Mall, Port Alexandra, NV 39475"
"c241330b-01a9-471f-9e8a-774bcf36d58b","Nicole Brown","03/12/2024","375.25","7.0","9909 Stacey Fords Apt. 412, East Andrea, AL 54046"
"","Kathryn Farrell","26/09/2023","294.17","4.0","0344 Jones Fort Suite 936, New Jeffreyberg, KY 19144"
"6c307511-b2b9-437a-a8df-6ec4ce4a2bbd","Tyler Miller","03/03/2025","427.1","1.0","9947 Taylor Hollow, Benderhaven, NM 57878"
"371ecd7b-27cd-4130-8722-9389571aa876","Kurt Leonard","18/05/2024","480.59","2.0","5940 Jeremy Spring, Port Emilyview, AZ 99626"
"1a2a73ed-562b-4f79-8374-59eef50bea63","Bryan Zamora","04/05/2025","96.98","4.0","2967 Theodore Lodge Suite 512, Robertfort, TN 52989"
"5be6128e-18c2-4797-a142-ea7d17be3111","Kristopher Harvey","28/08/2023","339.23","9.0",""
"43b7a3a6-9a8d-4a03-980d-7b71d8f56413","Kevin Mills","15/09/2024","64.34","9.0","1545 Tara Lodge, Lake Mollymouth, AR 25087"
"759cde66-bacf-43d0-8b1f-9163ce9ff57f","Christina Moran","08/07/2024","126.88","2.0","703 Dunn Heights Suite 710, Lake Eric, AL 72885"
"","James Powers","10/06/2023","311.59","8.0","71274 Perry Orchard, Sanchezside, MS 25484"
"ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85","Eugene Walton","24/04/2025","293.92","9.0","PSC 8214, Box 6584, APO AE 37573"
"4b0dbb41-8d52-48f1-942c-3fe860e7a113","Jimmy Murillo","22/03/2024","467.68","8.0","78755 Gibson Islands Apt. 396, Port Kimberly, MD 98110"
"e2acf72f-9e57-4f7a-a0ee-89aed453dd32","Angel Lewis MD","22/08/2024","359.51","9.0","2702 Kane Well Suite 187, Lake Douglasberg, NJ 35238"
"3139d32c-93cd-49bf-9c94-1cf0dc98d2c1","Shirley Suarez","01/08/2024","200.91","9.0","158 Finley Road Suite 809, East Crystalport, WA 12347"
"a9488d99-0bbb-4599-91ce-5dd2b45ed1f0","christopher bass","16/10/2024","153.5","3.0","172 Berger Cape, Lauraport, MN 56951"
"fc377a4c-4a15-444d-85e7-ce8a3a578a8e","Lisa Archer","11/06/2023","377.17","8.0","222 Chelsea Light Apt. 792, South Dana, KS 87905"
"ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31","aimee montoya","25/07/2023","231.85","4.0","8217 Huerta Hills Suite 474, South Melissa, IA 50487"
"7412b293-4729-4739-a14f-f3d719db3ad0","Matthew Mcmillan","01/10/2024","498.07","5.0","406 Smith Way Apt. 974, New Laurie, SC 25421"
"29a3b2e9-5d65-4441-9588-42dea2bc372f","Brian Rodriguez","17/04/2024","110.51","9.0","104 Johnson Lakes, North Renee, WA 54961"
"ab9099a4-35a2-40ae-9af3-05535ec42e08","Denise Jacobs","03/09/2023","466.96","4.0","588 Rivas Glens, Coffeyport, MA 15596"
"aefcfad8-efc8-4849-b3aa-7efe4458a885","Christina Walters","24/03/2025","440.24","2.0","36851 Smith Plain, South Miguelview, MS 84196"
"a28defe3-9bf0-4273-9247-6f57a5e5a5ab","john whitehead","13/05/2024","83.08","4.0","USS Leonard, FPO AA 03781"
"3eabedcb-baa8-4dd4-88bd-64072bcfbe01","Anna Henderson","09/10/2023","353.25","6.0","317 Banks Crescent Apt. 004, Wilsonbury, ND 18282"
